developer,review,item_id
Kotoshiro,1.0,550.0
Secret Level SRL,0.0,218620.0
Poolianscom,2.0,311560.0
Trickjump Games Ltd,1.0,310950.0
Poppermost Productions,2.0,219740.0
Poppermost Productions,0.0,304050.0
Stegalosaurus Game Development,2.0,550.0
Copperpick Studio,1.0,304930.0
Ghulam Jewel,0.0,730.0
Apillo,0.0,570.0
Poppermost Productions,0.0,230410.0
Apillo,2.0,221100.0
Poppermost Productions,2.0,376300.0
Tero Lunkka,0.0,369070.0
FrozenPepper,0.0,91310.0
FrozenPepper,0.0,302830.0
Casey Labrack,2.0,252490.0
Stainless Games Ltd,0.0,432020.0
Valve,0.0,209100.0
devplay,1.0,20.0
ETGgames,0.0,346900.0
lalalaZeroUrbanoff,2.0,72850.0
Strategy First,0.0,57300.0
Strategy First,2.0,630.0
Outerlight Ltd,0.0,218680.0
Ultraint,2.0,236390.0
TPMCO SOFT WORKS,2.0,252950.0
Wonderbox Games,0.0,339610.0
Wonderbox Games,1.0,4000.0
Mad Unicorn Games,0.0,335300.0
GlyphX Games,0.0,440.0
Introversion Software,0.0,334230.0
Outerlight Ltd,0.0,305620.0
Facepunch Studios,2.0,292030.0
SimBin,2.0,301520.0
Unknown Worlds Entertainment,0.0,393420.0
CINEMAX sro,2.0,224060.0
Sick Puppies,2.0,730.0
Deepred,2.0,730.0
Funcom,0.0,4000.0
Bugbear Entertainment,0.0,107410.0
Bugbear Entertainment,2.0,364360.0
CAPCOM Co Ltd,1.0,22380.0
FireFly StudiosFiraxis Games,1.0,224260.0
Arkane Studios,1.0,221100.0
Funcom,1.0,35450.0
Firaxis Games,2.0,246620.0
PopTop,2.0,4000.0
Firaxis GamesFeral Interactive Mac,2.0,275850.0
PopTop,0.0,236390.0
MicroProse Software Inc,1.0,107410.0
Crystal DynamicsFeral Interactive Mac,0.0,282070.0
CAPCOM Co Ltd,0.0,730.0
Telltale Games,1.0,570.0
id Software,1.0,304240.0
Telltale Games,2.0,321980.0
id Software,2.0,342300.0
id Software,0.0,319510.0
id Software,2.0,441050.0
id Software,2.0,1840.0
Gray Matter Studios,2.0,440.0
Ritual Entertainment,2.0,730.0
id Software,2.0,107410.0
Terminal Reality,1.0,391540.0
Rogue Entertainment,2.0,301520.0
id Software,2.0,8930.0
Metamorf,0.0,318220.0
Relic Entertainment,0.0,271590.0
K BostonK Australia,2.0,730.0
Relic Entertainment,2.0,48700.0
Relic Entertainment,1.0,200510.0
The Creative Assembly,2.0,247240.0
The Creative Assembly,2.0,200210.0
Big Fish Games,2.0,301520.0
Rockstar North,0.0,570.0
Rockstar San Diego,0.0,417860.0
Remedy Entertainment,2.0,204300.0
Crystal Dynamics,0.0,224540.0
Remedy Entertainment,2.0,255710.0
EA Los Angeles,2.0,395910.0
Infinite Interactive,2.0,570.0
Momentum Digital Media Technologies,2.0,730.0
GamebryoVirtual Playground,1.0,730.0
SCS Software,2.0,107410.0
SCS Software,2.0,304930.0
Pivotal Games,2.0,9050.0
Bohemia Interactive,2.0,570.0
Spellbound,0.0,394230.0
Haggard Games,1.0,248570.0
Eugen Systems,0.0,550.0
FrontierAspyr Mac,0.0,570.0
Eugen Systems,2.0,440.0
Epic Games Inc,2.0,108600.0
Epic Games Inc,2.0,6060.0
Sanzaru Games,2.0,329440.0
Ubisoft,0.0,311210.0
Crytek Studios,2.0,107410.0
Epic Games Inc,0.0,211820.0
Ubisoft Montreal,2.0,434570.0
Ubisoft,2.0,322330.0
Last Day of Work,2.0,200210.0
SpinTop Games,1.0,4000.0
MumboJumbo,1.0,335330.0
MumboJumbo,0.0,440.0
MumboJumbo,2.0,440.0
MumboJumbo,0.0,630.0
MumboJumbo,2.0,248570.0
MumboJumbo,0.0,220050.0
Ubisoft,2.0,113020.0
MumboJumbo,1.0,232090.0
Ubisoft BulgariaUbisoft Montpellier,0.0,208090.0
Ubisoft Romania,0.0,570.0
C Maddox Games,2.0,440.0
Ubisoft Romania,0.0,346110.0
Telltale Games,2.0,346110.0
MerscomBabylon,1.0,220440.0
Telltale Games,0.0,1670.0
BigAnt Studios,0.0,275850.0
Gabriel Entertainment,0.0,238460.0
Zemnott,0.0,301640.0
Frogwares,1.0,262060.0
Frogwares,2.0,346110.0
Luc BernardSilverSphereStudios,0.0,3730.0
Lesta Studio,2.0,355960.0
Dialogue Design,1.0,570.0
Bugbear Entertainment,0.0,221100.0
Oddworld Inhabitants,2.0,248570.0
Oddworld Inhabitants,2.0,233720.0
SimBin,0.0,55230.0
MicroProse Software Inc,2.0,22380.0
MicroProse Software Inc,2.0,313371.0
MicroProse Software Inc,2.0,215280.0
GSC Game World,0.0,33100.0
Crytek,2.0,234140.0
Crytek,0.0,208090.0
MicroProse Software Inc,2.0,72850.0
CD PROJEKT RED,2.0,730.0
Introversion Software,0.0,359320.0
SimBin,0.0,293500.0
Tilted Mill Entertainment Inc,2.0,353360.0
Firaxis Games,1.0,47790.0
Red Storm EntertainmentUbisoft Montreal,2.0,227700.0
Travellers Tales,2.0,2870.0
Monte Cristo,2.0,304930.0
Tilted Mill Entertainment Inc,2.0,282070.0
Gearbox Software,2.0,337950.0
Dark Castle Software,2.0,204880.0
Techland,2.0,1250.0
Nival,2.0,65980.0
Gearbox Software,0.0,353830.0
Nival,0.0,221100.0
Blue Byte,2.0,230410.0
Ubisoft,0.0,344750.0
Red Storm Entertainment,0.0,388490.0
PopCap Games Inc,2.0,252490.0
D BOY,2.0,385370.0
Egosoft,0.0,730.0
Sandstorm Productions,2.0,218620.0
Shorebound Studios,2.0,221100.0
Perpetual FX Creative,0.0,311210.0
Rockstar New England,2.0,211820.0
Ubisoft Montreal,0.0,220240.0
Meridian,1.0,230410.0
RailSimulatorcom,1.0,730.0
RailSimulatorcom,1.0,359550.0
RailSimulatorcom,2.0,570.0
Reppo,2.0,440.0
RailSimulatorcom,2.0,440.0
Dovetail Games,2.0,730.0
Dovetail Games,2.0,4000.0
Volition,2.0,264710.0
EA Redwood Shores,0.0,292140.0
Liquid Entertainment,2.0,359320.0
DICE,2.0,570.0
Hidden Path Entertainment,0.0,22380.0
Monolith,2.0,211820.0
Oxeye Game Studio,0.0,3920.0
Inventive Dingo,2.0,227940.0
Meridian,0.0,311210.0
Black Sea Studios Ltd,2.0,225540.0
Realmforge Studios,0.0,322500.0
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,0.0,437220.0
Deadline Games,2.0,319510.0
Frictional Games,0.0,313120.0
Epic Games Inc,0.0,291550.0
Radon Labs,1.0,220200.0
Tale of Tales,1.0,730.0
Criterion Games,2.0,337320.0
Twisted Pixel Games,2.0,105600.0
Twisted Pixel Games,2.0,72850.0
Twisted Pixel Games,2.0,343464.0
IonFX,2.0,247730.0
Llamasoft LTD,0.0,214490.0
InnoGlowStormregionTHQ Nordic,0.0,211420.0
SpinTop Games,2.0,319630.0
ArenaNet,0.0,322170.0
ArenaNet,0.0,291210.0
ArenaNet,0.0,295110.0
ArenaNet,2.0,282560.0
Infinite Interactive,2.0,304050.0
MumboJumbo,0.0,730.0
Reality Pump Studios,2.0,730.0
Spellbound,2.0,200510.0
Gaijin Entertainment,0.0,244850.0
ACE Team,2.0,223470.0
Twisted Pixel Games,1.0,449040.0
C Company,1.0,1280.0
Last Day of Work,0.0,225540.0
Sky Fallen,0.0,730.0
Irrational Games,2.0,34900.0
Irrational Games,2.0,730.0
SaintXi,2.0,260160.0
Darklight Games,0.0,289650.0
Radical Entertainment,0.0,264380.0
Erik Svedng,0.0,274900.0
Ascaron Entertainment ltd,2.0,252490.0
Bethesda Game Studios,0.0,355840.0
Bethesda Game Studios,0.0,285480.0
Deck ,0.0,270170.0
NovaLogic,2.0,620.0
NovaLogic,0.0,246620.0
Mascot Entertainment,2.0,436470.0
Techland,1.0,417860.0
HeR Interactive,0.0,377160.0
HeR Interactive,0.0,239030.0
HeR Interactive,1.0,500590.0
HeR Interactive,2.0,301520.0
Digital Eel,0.0,205350.0
Telltale Games,0.0,307780.0
Capcom,2.0,349830.0
Frontier,2.0,8930.0
LucasArts,0.0,324570.0
Planet Moon Studios,2.0,730.0
Pandemic Studios,1.0,570.0
LucasArts,0.0,346110.0
Travellers Tales,1.0,323470.0
LucasArts,2.0,393380.0
GFI Russia,0.0,238460.0
Targem Games,0.0,107410.0
HeR Interactive,2.0,105600.0
Wanako Games,0.0,22300.0
Sierra,2.0,384300.0
Saber Interactive,1.0,730.0
Sierra,1.0,354240.0
Tripwire Interactive,1.0,730.0
Artech Studios,0.0,730.0
PopTop SoftwareBreakAway GamesFrog City Software,0.0,440.0
SpinTop Games,1.0,730.0
Capcom,1.0,730.0
Capcom,2.0,441920.0
Deadline Games,1.0,730.0
Sakari Indie,2.0,369200.0
BioWareAspyr Mac,1.0,232090.0
Hemisphere Games,2.0,385240.0
Black Isle Studios,1.0,91310.0
 East,1.0,730.0
Xatrix Entertainment,0.0,4000.0
Telltale Games,2.0,240.0
iWin,2.0,113200.0
iWin,1.0,204360.0
Size Five Games,2.0,225840.0
Ubisoft Montreal,2.0,730.0
Unicorn Games Studio,2.0,393380.0
Blue Fang,2.0,730.0
IO Interactive,2.0,323910.0
Vectorpark Inc,0.0,730.0
All Aboard,2.0,240.0
MumboJumbo,2.0,730.0
Telltale Games,0.0,730.0
NovaLogic,2.0,273350.0
Dovetail Games,1.0,730.0
PlayFirst,0.0,327890.0
Dovetail Games,0.0,368230.0
Piranha Bytes,0.0,221380.0
Honeyslug,2.0,72850.0
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,2.0,333930.0
Amanita Design,2.0,282440.0
EA Los Angeles,0.0,241560.0
Slightly Mad Studios,2.0,271590.0
Runic Games,0.0,275850.0
EA Los Angeles,0.0,202181.0
FireFly Studios,2.0,377160.0
Nitro Games,0.0,391540.0
Homegrown Games,2.0,22380.0
PhenomicTHQ Nordic,2.0,12210.0
Animation Arts,2.0,1840.0
Stormregion,2.0,222880.0
Telltale Games,0.0,208650.0
C Company,2.0,230410.0
Konstantin Koshutin,1.0,232090.0
Phenomic,2.0,218230.0
Wargamingnet,2.0,422420.0
Wargamingnet,2.0,298030.0
Croteam,0.0,289950.0
Animation Arts,0.0,218620.0
BioWare,1.0,440.0
Citeremis Inc,2.0,230410.0
Yullaby,0.0,348290.0
Crystal Empire Games,0.0,444860.0
Infinity WardAspyr Mac,2.0,379720.0
Travellers TalesFeral Interactive Mac,1.0,322170.0
Triumph StudiosVirtual Programming,2.0,249130.0
Triumph StudiosVirtual Programming,2.0,506140.0
EA Los Angeles,1.0,262060.0
KranX Productions,2.0,4000.0
EA Los Angeles,1.0,271590.0
Positech Games,2.0,236390.0
Gaijin Entertainment,2.0,319630.0
inXile Entertainment,0.0,311210.0
Defence Alliance Team,2.0,7730.0
LucasArtsAspyr Studios,0.0,374320.0
Bethesda Game Studios,0.0,332070.0
Positech Games,2.0,730.0
Hip Soft,2.0,570.0
Hip Soft,1.0,434780.0
Hip Soft,1.0,250900.0
iWin,2.0,218620.0
Spidermonk Entertainment,2.0,252490.0
Capcom,2.0,570.0
ClockStone Studios,1.0,4000.0
Hip Soft,1.0,4000.0
Octoshark Studios,2.0,292030.0
Alawar,2.0,216260.0
Alawar,2.0,238320.0
Alawar,0.0,273300.0
Alawar,0.0,480630.0
Alawar,0.0,208650.0
Sandlot Games,0.0,420110.0
Sandlot Games,2.0,391540.0
Cateia Games,1.0,730.0
Chaos Concept,1.0,274940.0
Travellers Tales,1.0,322170.0
New Star Games Ltd,1.0,331900.0
Paradox Interactive,2.0,311210.0
The Farm ,2.0,208750.0
Awem Studio,0.0,225540.0
Rebellion,0.0,335330.0
Croteam,2.0,440.0
All Aboard,0.0,730.0
TaleWorlds Entertainment,2.0,12210.0
ZoopTEK,2.0,287700.0
Beatnik Games,2.0,311340.0
Fatshark,2.0,209080.0
Rockstar North  Toronto,0.0,417860.0
Other Ocean Interactive,2.0,204300.0
Nemesys Games,0.0,224540.0
Cold Beam Games,2.0,255710.0
Telltale Games,2.0,230410.0
Realmforge Studios,1.0,570.0
Gaijin Entertainment,2.0,236390.0
The Odd Gentlemen,0.0,242760.0
THQ Nordic,2.0,225540.0
THQ Nordic,1.0,240.0
Red Chain Games Ltd,0.0,252490.0
Big Fish Games,0.0,324810.0
Big Fish Games,2.0,377160.0
The Creative AssemblyFeral Interactive Mac,2.0,498580.0
Sarbakan,0.0,224480.0
PlayFirst,2.0,42700.0
Absolutist Ltd,2.0,8870.0
PlayFirst,0.0,376870.0
PlayFirst,2.0,35450.0
PlayFirst,0.0,242860.0
PlayFirst,0.0,730.0
PlayFirst,0.0,271590.0
G Entertainment,2.0,570.0
Climax Studios,2.0,107410.0
Muse Games,2.0,212070.0
Ideas Pad,2.0,305620.0
Ubisoft,2.0,477160.0
Kokakiki,2.0,427950.0
SEGA,2.0,434620.0
SEGA,2.0,431560.0
DT Limited,2.0,398070.0
SEGA,0.0,221100.0
SEGA,0.0,105600.0
SEGA,0.0,334070.0
SEGA,0.0,305620.0
SEGA,2.0,251570.0
SEGA,2.0,377160.0
SEGA,1.0,22330.0
SEGA,2.0,730.0
Team Software Ltd,0.0,237310.0
Bethesda Game Studios,1.0,730.0
Hidden Path Entertainment,1.0,419070.0
Bethesda Game Studios,0.0,377160.0
Bethesda Game Studios,2.0,498240.0
Bethesda Game Studios,2.0,440.0
Valve,2.0,4000.0
Bethesda Game Studios,2.0,397040.0
EA  MaxisAspyr Mac,0.0,391540.0
Akelladat,1.0,105600.0
Arcen Games LLC,0.0,730.0
Invent Entertainment,1.0,367450.0
Blue Byte,2.0,405170.0
Dagger Games,0.0,283660.0
IO Interactive,0.0,730.0
Rune Forge,2.0,204300.0
Paradox Interactive,0.0,570.0
NV Games,2.0,570.0
InoCo,2.0,301640.0
K CzechFeral Interactive Mac,2.0,383790.0
Dovetail Games,2.0,437220.0
Infinite Interactive,2.0,207610.0
doublesix,2.0,2300.0
Playbrains,2.0,326160.0
Playbrains,2.0,280.0
Playbrains,2.0,225260.0
Playbrains,1.0,225840.0
Paradox Development Studio,2.0,20510.0
VStep,0.0,271590.0
Team Digital Ltd,2.0,49520.0
Muzzy Lane Software,0.0,338400.0
Bohemia Interactive,0.0,91310.0
Paradox Development Studio,2.0,4000.0
Playbrains,0.0,348490.0
IO Interactive,0.0,4560.0
IO Interactive,2.0,291550.0
NV Games,1.0,374301.0
IO Interactive,1.0,366660.0
GSC Game World,1.0,274190.0
Revolution Software Ltd,0.0,304930.0
Zo Mode,2.0,404090.0
K CzechFeral Interactive Mac,2.0,221100.0
City Interactive,2.0,107410.0
Terry Cavanagh,1.0,105600.0
Blue Byte,0.0,105600.0
Frictional Games,2.0,271360.0
EasyGameStation,2.0,72850.0
Dedication Games,0.0,368500.0
SEGA,2.0,325610.0
SEGA,2.0,236870.0
exosyphen studios,2.0,417461.0
exosyphen studios,2.0,322520.0
Subsoap,2.0,239030.0
Gaming Minds Studios,2.0,275850.0
SEGA,2.0,4000.0
Katauri Interactive,0.0,354850.0
Dovetail Games,0.0,346110.0
Firaxis GamesAspyr Mac Linux,1.0,432020.0
Nitro Games,1.0,391540.0
Croteam,0.0,304930.0
Blind Mind Studios,1.0,391540.0
Krome Studios,0.0,304930.0
Team Digital Ltd,2.0,360870.0
Vigil Games,0.0,310360.0
Egosoft,2.0,4000.0
NeoCoreGames,2.0,230410.0
ArenaNet,0.0,570.0
Egosoft,2.0,369290.0
Triumph Studios,2.0,490650.0
I Sioux Game Productions BV,2.0,321300.0
I Sioux Game Productions BV,0.0,301520.0
Triumph Studios,1.0,47790.0
Triumph Studios,0.0,50300.0
Electronic Arts,0.0,730.0
Headup GamesSilent Dreams,1.0,301190.0
CAPCOM CO LTD,1.0,245620.0
Stickmen Studios,1.0,214490.0
Obsidian Entertainment,0.0,4000.0
Dmytry Lavrov,2.0,218230.0
Ivy Games,2.0,346110.0
Noumenon Games,2.0,349220.0
Firaxis GamesAspyr Mac Linux,2.0,374320.0
Hothead Games,0.0,208650.0
SEGA,2.0,219150.0
SEGA,2.0,251810.0
SEGA,2.0,230410.0
SEGA,2.0,221100.0
SEGA,0.0,273350.0
SEGA,2.0,286340.0
SEGA,2.0,286340.0
SEGA,2.0,351570.0
Klei Entertainment,0.0,50300.0
Teotl Studios,0.0,214950.0
Aspyr Studios,0.0,220240.0
Firemint,0.0,311210.0
Ascaron Entertainment ltd,0.0,297110.0
Gaijin Games,0.0,273350.0
C Company,2.0,4000.0
Nitro Games,2.0,377160.0
Tomkorp Computer Solutions Inc,0.0,440.0
Paradox Interactive,2.0,282140.0
Double Helix Games,2.0,25890.0
Centauri Production,0.0,42910.0
Centauri Production,0.0,298600.0
Centauri Production,2.0,319510.0
Altar Games,0.0,221100.0
React Games,2.0,377160.0
Treyarch,2.0,730.0
Sonic Boom Games,0.0,252950.0
Oddworld Inhabitants,2.0,271590.0
Sonic Boom Games,2.0,232090.0
Oddworld Inhabitants,2.0,219830.0
Ntreev Soft Co Ltd,0.0,730.0
Telltale Games,2.0,265630.0
Rockstar Games,0.0,440.0
Rockstar Games,2.0,335030.0
Crystal Dynamics Inc,0.0,440.0
Crystal Dynamics Inc,2.0,4000.0
Crystal Dynamics,1.0,107410.0
Crystal Dynamics Inc,2.0,236110.0
Rockstar Games,2.0,434420.0
Brightside Games,0.0,265550.0
Extend Studio,2.0,303210.0
BlueGiant Interactive,1.0,287700.0
Visceral Games,0.0,311690.0
Big Fish Studios,2.0,218620.0
Cateia Games,2.0,233130.0
Uber Entertainment,2.0,436120.0
MumboJumbo,2.0,282900.0
SEGA,2.0,237850.0
SEGA,2.0,323370.0
SEGA,2.0,345350.0
SEGA,2.0,244850.0
SEGA,2.0,218620.0
SEGA,2.0,3900.0
SEGA,2.0,218230.0
SEGA,2.0,209870.0
SEGA,2.0,391540.0
SEGA,2.0,262410.0
SEGA,0.0,230410.0
The Sims Studio,0.0,104900.0
VStep,2.0,211820.0
The Sims Studio,0.0,498240.0
The Sims Studio,2.0,730.0
The Sims Studio,0.0,240.0
The Sims Studio,0.0,275850.0
Trinoteam,2.0,373390.0
Virtual Prophecy Entertainment,0.0,301910.0
The Sims Studio,0.0,319730.0
Mediatonic,0.0,218620.0
Cyan Worlds,2.0,34900.0
Petroglyph,1.0,311210.0
Reality Pump Studios,2.0,8870.0
Eden Studios,2.0,393380.0
NeoCoreGames,0.0,391540.0
Positech Games,1.0,252490.0
NeoCoreGames,1.0,227300.0
Realmforge Studios,0.0,230410.0
Arcen Games LLC,0.0,570.0
DTP,2.0,730.0
Stainless Games,2.0,368750.0
Fakt Software,2.0,301750.0
Gaijin Games,2.0,271590.0
Kaos StudiosDigital Extremes,0.0,223710.0
Red Redemption,2.0,440.0
Copenhagen Game Collective,1.0,304930.0
Relic EntertainmentFeral Interactive MacLinux,2.0,209870.0
Relic EntertainmentFeral Interactive MacLinux,2.0,313120.0
Relic EntertainmentFeral interactive MacLinux,2.0,232090.0
Relic EntertainmentFeral interactive MacLinux,2.0,274920.0
Trion Worlds,2.0,384150.0
Relic EntertainmentFeral Interactive MacLinux,2.0,363270.0
Stout Games,2.0,356070.0
Relic EntertainmentFeral Interactive MacLinux,2.0,219640.0
Black Lion Studios,1.0,265930.0
Colossal Order Ltd,2.0,468410.0
VStep,0.0,304930.0
Relic EntertainmentFeral Interactive MacLinux,0.0,220780.0
SimBin,2.0,283080.0
 bit studios,2.0,223470.0
Ntronium Games,2.0,271590.0
Martin Ivanov,1.0,333600.0
Realmforge Studios,0.0,354290.0
 North and Digital Ranch,0.0,4000.0
Gaming Minds Studios,0.0,218230.0
Valve,0.0,270550.0
Arrowhead Game Studios,1.0,440.0
Coffee Stain Studios,2.0,730.0
CInoCo,2.0,220.0
Relic EntertainmentFeral Interactive MacLinux,2.0,72850.0
Relic EntertainmentFeral Interactive MacLinux,2.0,730.0
Relic EntertainmentFeral Interactive MacLinux,2.0,344760.0
Mode ,1.0,4000.0
Relic EntertainmentFeral Interactive MacLinux,2.0,338000.0
inXile Entertainment,2.0,34900.0
Fatshark,2.0,218620.0
The Sims Studio,1.0,570.0
Colossal Order Ltd,0.0,301520.0
Arrowhead Game Studios,2.0,240.0
Behaviour,2.0,105600.0
Microids,0.0,485380.0
Microids,1.0,440.0
Treyarch,1.0,406550.0
Obsidian Entertainment,1.0,252950.0
Red Duck Inc,2.0,333600.0
Cryptic Studios,2.0,730.0
Apus SoftwareThree Donkeys LLC,2.0,440.0
Colossal Order Ltd,2.0,377160.0
Reality Pump Studios,1.0,374320.0
Peter Brinson and Kurosh ValaNejad,2.0,730.0
Stainless Games Ltd,2.0,24960.0
Bacon Wrapped Games,2.0,17710.0
Cold Beam Games,0.0,70600.0
Mode ,0.0,22330.0
Murudai,0.0,6910.0
Totem Games,2.0,295810.0
Totem games,0.0,375220.0
Arrowhead Game Studios,0.0,276770.0
